              r_in              r_out                    rho                t_e                t_r                 ne                    w      v_inner       v_outer
3934569600000000.0 4034534400000000.0 2.3954130898419986e-17  8645.659012975288  9606.287792194764  910315.1212554837  0.02680416428670879 3503000000.0  3592000000.0
4034534400000000.0 4134499200000000.0 2.0139658587031597e-17  8601.210160675233  9556.900178528036  764956.9899417774  0.02582638580673192 3592000000.0  3681000000.0
4134499200000000.0 4234464000000000.0 1.7003772009708903e-17  8556.363322892277  9507.070358769197  645444.5547121263  0.02489408838379269 3681000000.0  3770000000.0
4234464000000000.0 4334428800000000.0  1.441364803041881e-17  8513.112446484472  9459.013829427191  546806.1289198941  0.02405978136224634 3770000000.0  3859000000.0
4334428800000000.0 4434393600000000.0 1.2264729138947113e-17  8460.741257138821  9400.823619043134 464780.12336014485 0.023368242823201445 3859000000.0  3948000000.0
4434393600000000.0 4534358400000000.0 1.0474246098349676e-17  8410.577169044862  9345.085743383179  396496.4403533782 0.022697922288291355 3948000000.0  4037000000.0
4534358400000000.0 4634323200000000.0  8.976326510668512e-18  8372.725183413366  9303.027981570405  339607.0316960197 0.021967595476159393 4037000000.0  4126000000.0
4634323200000000.0 4734288000000000.0  7.718277138576541e-18  8337.917337980454   9264.35259775606 291882.16838496085 0.021265061049984293 4126000000.0  4215000000.0
4734288000000000.0 4834252800000000.0  6.657740894266143e-18  8299.898748937954   9222.10972104217 251609.19804982707 0.020637317221097802 4215000000.0  4304000000.0
4834252800000000.0 4934217600000000.0 5.7605098885960315e-18  8273.132594052164  9192.369548946848 217678.89845341197 0.019951631968556666 4304000000.0  4393000000.0
4934217600000000.0 5034182400000000.0  4.998833653080524e-18  8236.192612841414   9151.32512537935  188764.5993478411  0.01940069796997051 4393000000.0  4482000000.0
5034182400000000.0 5134147200000000.0  4.350103343374153e-18  8196.199299826185  9106.888110917984 164114.83945827273  0.01891717836673655 4482000000.0  4571000000.0
5134147200000000.0 5234112000000000.0  3.795823063321424e-18 8160.2881558100535  9066.986839788948 143092.44811053007 0.018414687218347825 4571000000.0  4660000000.0
5234112000000000.0 5334076800000000.0 3.3208016585405498e-18  8130.186030437625  9033.540033819583 125125.64223771784 0.017897209125335992 4660000000.0  4749000000.0
5334076800000000.0 5434041600000000.0  2.912514695967996e-18  8086.772993009874  8985.303325566527 109590.74330351225 0.017510385824668497 4749000000.0  4838000000.0
5434041600000000.0 5534006400000000.0  2.560598481663463e-18   8063.82235953531    8959.8026217059  96338.41208444377   0.0169992333012231 4838000000.0  4927000000.0
5534006400000000.0 5633971200000000.0 2.2564470204808363e-18  8022.491236054292  8913.879151171435  84777.55966555109 0.016643263229080066 4927000000.0  5016000000.0
5633971200000000.0 5733936000000000.0  1.992889610171495e-18  7991.937123863526   8879.93013762614   74821.3063653078 0.016232556310029185 5016000000.0  5105000000.0
5733936000000000.0 5833900800000000.0  1.763931882300991e-18  7974.704219233064  8860.782465814515  66236.76430305166 0.015753635707654676 5105000000.0  5194000000.0
5833900800000000.0 5933865600000000.0 1.5645469836518142e-18  7935.049421575104  8816.721579527893  58665.88694731194 0.015469620535502066 5194000000.0  5283000000.0
5933865600000000.0 6033830400000000.0 1.3905065490244167e-18  7904.068727872719  8782.298586525243  52092.47411517285 0.015120259281533936 5283000000.0  5372000000.0
6033830400000000.0 6133795200000000.0 1.2382433805050677e-18 7868.5050738198515   8742.78341535539 46326.876758841325 0.014815322966566418 5372000000.0  5461000000.0
6133795200000000.0 6233760000000000.0 1.1047394899226395e-18  7842.149963655654  8713.499959617393 41305.169715327036 0.014479985167258434 5461000000.0  5550000000.0
6233760000000000.0 6333724800000000.0   9.87434507021247e-19  7806.239824202337  8673.599804669264  36864.26238087215  0.01420503820966034 5550000000.0  5639000000.0
6333724800000000.0 6433689600000000.0   8.84150500356686e-19  7775.690048479567  8639.655609421741 32971.559305968825  0.01391660528753404 5639000000.0  5728000000.0
6433689600000000.0 6533654400000000.0  7.930300719795635e-19  7755.026829193517  8616.696476881685 29563.298541582823 0.013580296870675851 5728000000.0  5817000000.0
6533654400000000.0 6633619200000000.0  7.124852240293361e-19 7710.8782411412285   8567.64249015692 26497.815725674525 0.013405112176061463 5817000000.0  5906000000.0
6633619200000000.0 6733584000000000.0  6.411549958884231e-19  7680.286658748339  8533.651843053709 23814.205803244047 0.013156856652590655 5906000000.0  5995000000.0
6733584000000000.0 6833548800000000.0  5.778702653050551e-19  7650.218068018418  8500.242297798242  21435.73692621626  0.01291694877034996 5995000000.0  6084000000.0
6833548800000000.0 6933513600000000.0  5.216244193932285e-19  7620.290773764885   8466.98974862765  19323.40470939067 0.012687119175046842 6084000000.0  6173000000.0
6933513600000000.0 7033478400000000.0  4.715488496899286e-19  7590.482566421622  8433.869518246247 17444.269797401656 0.012466905450085178 6173000000.0  6262000000.0
7033478400000000.0 7133443200000000.0  4.268924233827925e-19  7563.502439227461  8403.891599141623  15774.05700793341 0.012245581637642779 6262000000.0  6351000000.0
7133443200000000.0 7233408000000000.0  3.870042411564675e-19   7532.38895235915  8369.321058176833 14277.214310586089 0.012047488130189795 6351000000.0  6440000000.0
7233408000000000.0 7333372800000000.0  3.513191191810916e-19  7517.661051926735  8352.956724363039 12959.528306747725 0.011771145098677755 6440000000.0  6529000000.0
7333372800000000.0 7433337600000000.0  3.193453350785839e-19  7476.247709078313  8306.941898975903 11748.851455804044 0.011650381226741143 6529000000.0  6618000000.0
7433337600000000.0 7533302400000000.0  2.906542603325494e-19   7444.42725486476  8271.585838738622 10674.220701981385 0.011484723994802189 6618000000.0  6707000000.0
7533302400000000.0 7633267200000000.0    2.6487156854286e-19  7413.787554201072   8237.54172689008  9710.793997361261 0.011320341104057883 6707000000.0  6796000000.0
7633267200000000.0 7733232000000000.0 2.4166976330620643e-19  7383.803412455284  8204.226013839205   8845.39733951384  0.01115953676791787 6796000000.0  6885000000.0
7733232000000000.0 7833196800000000.0  2.207618138098481e-19  7354.333893984171  8171.482104426856  8066.901803708876 0.011002796519989592 6885000000.0  6974000000.0
7833196800000000.0 7933161600000000.0 2.0189572242374166e-19  7324.966628331682  8138.851809257424   7365.37862304241 0.010852009756178886 6974000000.0  7063000000.0
7933161600000000.0 8033126400000000.0 1.8484987822969247e-19  7295.680242020995  8106.311380023328  6732.419860196198 0.010706996848064466 7063000000.0  7152000000.0
8033126400000000.0 8133091200000000.0 1.6942907478213253e-19  7266.461183868302  8073.845759853669 6160.6271163501115 0.010567553764057479 7152000000.0  7241000000.0
8133091200000000.0 8233056000000000.0  1.554610904511104e-19  7237.300072134696  8041.444524594107 5643.4769298516085 0.010433470548561362 7241000000.0  7330000000.0
8233056000000000.0 8333020800000000.0 1.4279374625437019e-19   7208.18998458985   8009.09998287761  5175.207000316925 0.010304539402056282 7330000000.0  7419000000.0
8333020800000000.0 8432985600000000.0 1.3129236978585568e-19  7179.125565159742  7976.806183510825  4750.714936536933 0.010180558445103094 7419000000.0  7508000000.0
8432985600000000.0 8532950400000000.0 1.2083760521204785e-19  7150.102516642306  7944.558351824784  4365.486409615152 0.010061333483009525 7508000000.0  7597000000.0
8532950400000000.0 8632915200000000.0 1.1132351875541844e-19  7121.117293054508  7912.352547838343  4015.513559739773   0.0099466787697403 7597000000.0  7686000000.0
8632915200000000.0 8732880000000000.0 1.0265595695675543e-19   7091.73074852412  7879.700831693466 3697.1001246497185  0.00983798243750998 7686000000.0  7775000000.0
8732880000000000.0 8832844800000000.0   9.47511215822931e-20  7062.811344464956  7847.568160516617 3407.3551180943505  0.00973195134850278 7775000000.0  7864000000.0
8832844800000000.0 8932809600000000.0  8.753433054335389e-20  7033.942162839805 7815.4912920442275  3143.308809260443 0.009629919513396689 7864000000.0  7953000000.0
8932809600000000.0 9032774400000000.0   8.09389388101501e-20  7004.718347374903  7783.020385972114  2902.353296576212 0.009533170941815779 7953000000.0  8042000000.0
9032774400000000.0 9132739200000000.0  7.490539717869796e-20  6976.432673971149  7751.591859967943 2682.5062058252747  0.00943693703926933 8042000000.0  8131000000.0
9132739200000000.0 9232704000000000.0  6.938043001457734e-20  6947.477177876125 7719.4190865290275 2481.4266415608818 0.009346840771739348 8131000000.0  8220000000.0
9232704000000000.0 9332668800000000.0  6.431631585166608e-20   6918.58307520814  7687.314528009045 2297.4622367281527 0.009260098071550569 8220000000.0  8309000000.0
9332668800000000.0 9432633600000000.0  5.967025705221184e-20   6889.73402716513  7655.260030183477 2128.9920250700084  0.00917664517111769 8309000000.0  8398000000.0
9432633600000000.0 9532598400000000.0  5.540382670628765e-20 6860.9210871032965  7623.245652336996 1974.5635442851235 0.009096396047276026 8398000000.0  8487000000.0
9532598400000000.0 9632563200000000.0  5.148248262146227e-20 6832.1386748803325  7591.265194311481 1832.8732240197294  0.00901925784597772 8487000000.0  8576000000.0
9632563200000000.0 9732528000000000.0 4.7875139675245984e-20  6803.382970797096  7559.314411996774 1702.7496930700286   0.0089451368242552 8576000000.0  8665000000.0
9732528000000000.0 9832492800000000.0  4.455379301334364e-20  6774.651173391624   7527.39019265736 1583.1392564452522 0.008873940923496465 8665000000.0  8754000000.0
9832492800000000.0 9932457600000000.0 4.1493185609106516e-20   6745.94111773456  7495.490130816178 1473.0931457599681 0.008805580949791442 8754000000.0  8843000000.0
9932457600000000.0     1.00324224e+16  3.867051458151071e-20  6717.251062300451  7463.612291444945 1371.7562742869509 0.008739971113497872 8843000000.0  8932000000.0
    1.00324224e+16     1.01323872e+16  3.606517142365243e-20  6688.579561883452  7431.755068759391 1278.3572903885972  0.00867702925062684 8932000000.0  9021000000.0
    1.01323872e+16      1.0232352e+16 3.3658511940544553e-20  6659.925387608655   7399.91709734295 1192.1997612165633 0.008616676877614101 9021000000.0  9110000000.0
     1.0232352e+16     1.03323168e+16 3.1433652250214266e-20  6631.287474247744  7368.097193608604 1112.6543455968288 0.008558839155917443 9110000000.0  9199000000.0
    1.03323168e+16     1.04322816e+16  2.937528767943993e-20  6602.664884141351  7336.294315712612 1039.1518358183935 0.008503444807274989 9199000000.0  9288000000.0
    1.04322816e+16     1.05322464e+16  2.746953179646893e-20  6574.015119778985  7304.461244198872  971.1759235833787 0.008450619324675338 9288000000.0  9377000000.0
    1.05322464e+16     1.06322112e+16 2.5703773177469926e-20  6545.369651692088  7272.632946324542  908.2608776070391 0.008400146544804598 9377000000.0  9466000000.0
    1.06322112e+16      1.0732176e+16 2.4066547809528773e-20  6516.792361599748  7240.880401777497  849.9845953430508 0.008351669178850496 9466000000.0  9555000000.0
     1.0732176e+16     1.08321408e+16  2.254742529767022e-20  6488.227278836062  7209.141420928958  795.9614803031042 0.008305384471757223 9555000000.0  9644000000.0
    1.08321408e+16     1.09321056e+16  2.113690727259333e-20  6459.673845881872  7177.415384313191  745.8425115667765 0.008261237015839154 9644000000.0  9733000000.0
    1.09321056e+16     1.10320704e+16 1.9826336594571415e-20  6431.131547443728   7145.70171938192  699.3103561840272  0.00821917422072285 9733000000.0  9822000000.0
    1.10320704e+16     1.11320352e+16 1.8607816121561937e-20   6402.59990523932  7113.999894710355  656.0762366437604 0.008179146191549474 9822000000.0  9911000000.0
    1.11320352e+16         1.1232e+16 1.7474135959641588e-20  6374.078473721945  7082.309415246605  615.8771279647208  0.00814110561259035 9911000000.0 10000000000.0
